threaded,4,5,6,7

task id,name,period
1003,stitch,704.0
964,disparity,1050.0
1010,stitch,1642.0
1005,stitch,1493.0
1016,tracking,505.0
984,sift,590.0
1004,stitch,2228.0
967,disparity,874.0
981,localization,665.0
969,disparity,1209.0
962,disparity,1592.0
976,localization,916.0
1008,stitch,3469.0
970,disparity,1094.0
993,svm,960.0
1018,tracking,962.0
1019,tracking,1048.0
1011,stitch,4530.0
968,disparity,2604.0
999,svm,929.0
966,disparity,2235.0
1006,stitch,4064.0
971,disparity,1831.0
1007,stitch,3274.0
965,disparity,2236.0
1009,stitch,4014.0
983,sift,2417.0
986,sift,2216.0
991,sift,2719.0
985,sift,2103.0
990,sift,2984.0
987,sift,3011.0
1015,tracking,2479.0
992,svm,2665.0
982,sift,4057.0
980,localization,3211.0
988,sift,3746.0
998,svm,4254.0
972,localization,3960.0
974,localization,2525.0
1029,texture_synt,553.0
1027,mser,1126.0
1020,mser,1109.0
1025,mser,1511.0
1035,texture_synt,1864.0
1034,texture_synt,3481.0
1036,texture_synt,3616.0
1033,texture_synt,3886.0
1037,texture_synt,4562.0
1032,texture_synt,4468.0
threaded,1,2,3

task id,name,period
1001,svm,1055.0
975,localization,1500.0
1000,svm,2024.0
977,localization,960.0
978,localization,1371.0
963,disparity,3577.0
1014,tracking,2634.0
1013,tracking,1989.0
994,svm,2553.0
973,localization,2047.0
1002,svm,1855.0
996,svm,1908.0
989,sift,3820.0
979,localization,2938.0
995,svm,2475.0
997,svm,3538.0
1017,tracking,4699.0
1012,tracking,3573.0
1024,mser,1269.0
1021,mser,796.0
1031,texture_synt,1987.0
1028,mser,3883.0
1022,mser,2876.0
1026,mser,4659.0
1023,mser,4440.0
1030,texture_synt,4128.0
