TASKS,CXS,RELEASE-LATENCY,RELEASE,SCHED2,SCHED,SEND-RESCHED
604,13.168755,286.800015,17.806245,1.356255,72.799995,7.816665
504,17.82084,230.742,24.17916,1.67709,67.900005,11.229165
420,12.35208,243.789,17.57292,1.16667,60.827085,7.000005
346,25.44792,198.972015,38.106255,1.502085,56.379165,5.964585
284,16.96041,153.3915,18.812505,1.34166,43.28334,7.014585
212,15.58959,139.4505,30.96042,1.370835,50.4,7.131255
139,16.40625,94.746,19.95,1.268745,37.12917,5.337495
74,11.69583,840.531,28.6125,1.487505,33.8625,5.833335
35,21.14583,1128.576045,32.214585,0.874995,52.456245,9.799995
14,12.818745,1119.93009,27.18333,0.90417,29.837505,2.552085
8,18.36042,1098.154545,29.37084,0.90417,29.429175,0
