TASKS,CXS,RELEASE-LATENCY,RELEASE,SCHED2,SCHED,SEND-RESCHED
8,12.24028,732.10303,19.58056,0.60278,19.61945,0
14,8.54583,746.62006,18.12222,0.60278,19.89167,1.70139
35,14.09722,752.38403,21.47639,0.58333,34.97083,6.53333
74,7.79722,560.354,19.075,0.99167,22.575,3.88889
139,10.9375,63.164,13.3,0.84583,24.75278,3.55833
212,10.39306,92.967,20.64028,0.91389,33.6,4.75417
284,11.30694,102.261,12.54167,0.89444,28.85556,4.67639
346,16.96528,132.64801,25.40417,1.00139,37.58611,3.97639
420,8.23472,162.526,11.71528,0.77778,40.55139,4.66667
504,11.88056,153.828,16.11944,1.11806,45.26667,7.48611
604,8.77917,191.20001,11.87083,0.90417,48.53333,5.21111
