TASKS,CXS,RELEASE-LATENCY,RELEASE,SCHED2,SCHED,SEND-RESCHED
604,0.83047,54.78491,1.29733,0.04797,2.67155,2.39664
504,0.80736,45.96164,1.27152,0.04688,2.60698,2.46492
420,0.7806,38.94954,1.23627,0.04627,2.55486,2.23825
346,0.81785,35.31956,1.30519,0.05023,2.716,2.31366
284,0.82218,30.32792,1.31615,0.05088,2.73599,2.46866
212,0.85784,24.891,1.30503,0.05211,2.74767,2.52467
139,0.84298,18.9114,1.2408,0.05359,2.72318,2.16662
74,0.87288,114.67239,1.02368,0.06144,2.97477,2.85347
35,1.01477,117.60303,1.25598,0.06935,3.73516,4.23403
14,1.33795,130.33635,2.01585,0.07874,5.12555,1.70139
8,1.77267,249.23396,3.73539,0.08666,7.24194,0
