TASKS,CXS,TICK,ISR,SCHED,SCHED_A,SCHED_C,SCHED2,RELEASE,RELEASE_C,SEND_RESCHED,RELEASE_LATENCY,RELEASE_LATENCY_A,RELEASE_LATENCY_B,RELEASE_LATENCY_C
4,1.00427,1.59538,0,3.05506,0,0,0.462489,1.84323,0,0,0.00344918,0,0,0
8,1.20131,1.64904,0,3.77277,0,0,0.458009,1.78007,0,0,0.00647251,0,0,0
12,1.26597,1.63781,0,3.84154,0,0,0.448588,1.80769,0,0,0.00387669,0,0,0
16,1.3433,1.63327,0,4.27856,0,0,0.445959,1.70486,0,0,0.00400024,0,0,0
20,1.36843,1.52485,0,4.41653,0,0,0.440765,1.79685,0,0,0.00366193,0,0,0
24,1.46771,1.56035,0,4.98647,0,0,0.432421,1.6822,0,0,0.00485702,0,0,0
28,1.42217,1.55633,0,4.72146,0,0,0.435672,1.62548,0,0,0.00475988,0,0,0
32,1.45168,1.58961,0,4.84804,0,0,0.427809,1.62784,0,0,0.0040776,0,0,0
36,1.55274,1.54057,0,5.25714,0,0,0.424849,1.62786,0,0,0.00477603,0,0,0
40,1.60518,1.53546,0,5.16967,0,0,0.4157,1.64433,0,0,0.00484663,0,0,0
44,1.63133,1.51897,0,5.34166,0,0,0.415221,1.61348,0,0,0.00389467,0,0,0
48,1.69931,1.54008,0,5.63368,0,0,0.412569,1.63095,0,0,0.00434094,0,0,0
52,1.74338,1.53093,0,5.51667,0,0,0.411086,1.63618,0,0,0.00563553,0,0,0
56,1.73615,1.52821,0,5.6793,0,0,0.406725,1.66266,0,0,0.00463644,0,0,0
60,1.8128,1.55704,0,6.1514,0,0,0.399974,1.69954,0,0,0.00467805,0,0,0
64,1.83188,1.53291,0,5.75029,0,0,0.404072,1.70261,0,0,0.00413365,0,0,0
68,1.92673,1.54947,0,6.21611,0,0,0.399744,1.69791,0,0,0.00498486,0,0,0
72,1.92208,1.55256,0,6.14884,0,0,0.39248,1.73068,0,0,0.00584113,0,0,0
76,1.98215,1.56731,0,6.32463,0,0,0.393131,1.75399,0,0,0.00467898,0,0,0
