TASKS,CXS,TICK,ISR,SCHED,SCHED_A,SCHED_C,SCHED2,RELEASE,RELEASE_C,SEND_RESCHED,RELEASE_LATENCY,RELEASE_LATENCY_A,RELEASE_LATENCY_B,RELEASE_LATENCY_C
4,20.487,3.844,0,16.331,0,0,2.695,3.579,0,0,0.329014,0,0,0
8,22.728,3.323,0,12.751,0,0,1.986,3.979,0,0,1.66808,0,0,0
12,11.643,4.858,0,19.046,0,0,2.401,3.556,0,0,1.15479,0,0,0
16,11.987,4.104,0,18.159,0,0,2.477,3.505,0,0,1.86345,0,0,0
20,25.051,3.889,0,18.355,0,0,2.123,3.797,0,0,0.780533,0,0,0
24,10.664,3.505,0,19.09,0,0,2.168,3.923,0,0,0.655109,0,0,0
28,13.859,6.127,0,30.719,0,0,2.778,3.604,0,0,1.82085,0,0,0
32,11.591,4.005,0,16.746,0,0,2.431,3.389,0,0,0.717149,0,0,0
36,19.702,6.612,0,18.596,0,0,2.46,3.658,0,0,2.00635,0,0,0
40,24.449,3.958,0,18.275,0,0,2.455,3.717,0,0,1.60151,0,0,0
44,26.042,3.909,0,30.483,0,0,2.957,3.845,0,0,0.8964,0,0,0
48,9.152,4.198,0,20.967,0,0,3.747,3.556,0,0,1.1312,0,0,0
52,27.796,6.107,0,25.255,0,0,2.896,3.579,0,0,1.14643,0,0,0
56,23.404,4.016,0,30.903,0,0,2.7,3.481,0,0,1.10154,0,0,0
60,26.855,4.362,0,21.999,0,0,3.099,4.348,0,0,1.30946,0,0,0
64,26.687,4.796,0,19.304,0,0,3.432,4.027,0,0,1.23669,0,0,0
68,24.745,4.914,0,19.955,0,0,3.72,4.369,0,0,1.71089,0,0,0
72,21.782,5.082,0,25.492,0,0,2.804,4.054,0,0,1.9394,0,0,0
76,11.728,4.489,0,20.288,0,0,4.168,4.29,0,0,1.79313,0,0,0
